Date,Price,Open,High,Low,Vol.,Change %
5/11/2020,16864.9,17087.9,17143.6,16864.9,20.36,-1.31%
4/11/2020,17087.9,17115.7,17283,16920.6,32.1,-0.16%
3/11/2020,17115.7,17283,17450.3,17032.1,30.75,0.33%
2/11/2020,17060,17032.1,17115.7,16920.6,18.23,0.16%
30/10/2020,17032.1,17171.5,17227.2,16669.7,33.41,-0.16%
29/10/2020,17060,16697.6,17143.6,16697.6,36.47,0.66%
28/10/2020,16948.5,17366.6,17645.4,16837,45.04,-3.18%
27/10/2020,17506,17060,17673.3,17032.1,44.37,1.95%
26/10/2020,17171.5,17283,17840.5,17115.7,35.73,-0.32%
23/10/2020,17227.2,16614,17227.2,16530.4,51.83,4.39%
22/10/2020,16502.5,16168,16502.5,16112.2,22.94,1.72%
21/10/2020,16223.7,16418.8,16502.5,16168,18.73,-0.85%
20/10/2020,16363.1,16028.6,16363.1,16000.7,23.38,1.56%
19/10/2020,16112.2,16251.6,16307.3,16084.3,19.2,-0.69%
16/10/2020,16223.7,16279.5,16446.7,16140.1,30.39,0.17%
15/10/2020,16195.8,16725.5,16725.5,16195.8,53.57,2.47%
14/10/2020,15805.6,15582.6,15805.6,15498.9,24.99,1.25%
13/10/2020,15610.4,15722,15749.8,15554.7,18.72,-0.89%
12/10/2020,15749.8,15972.8,16028.6,15638.3,21.51,-0.88%
9/10/2020,15889.2,15722,16000.7,15610.4,16.61,1.42%
8/10/2020,15666.2,15610.4,15666.2,15443.2,32.01,1.08%
7/10/2020,15498.9,15666.2,15777.7,15498.9,25.89,-1.59%
6/10/2020,15749.8,15303.8,15749.8,15164.4,41.44,3.29%
5/10/2020,15248.1,14969.3,15275.9,14969.3,22.45,2.43%
2/10/2020,14885.7,15080.8,15192.3,14495.4,35.47,-1.11%
1/10/2020,15052.9,14829.9,15164.4,14774.2,30.12,2.27%
30/9/2020,14718.4,14690.5,14802.1,14551.2,22.79,0.19%
29/9/2020,14690.5,14746.3,14941.4,14690.5,32.39,-0.19%
28/9/2020,14718.4,14383.9,14718.4,14328.2,30.84,2.52%
25/9/2020,14356,14383.9,14383.9,14216.7,17.72,0.39%
24/9/2020,14300.3,14328.2,14439.7,14216.7,21.82,-0.58%
23/9/2020,14383.9,14300.3,14439.7,14244.5,22.09,0.98%
22/9/2020,14244.5,14216.7,14328.2,14160.9,26.83,-0.58%
21/9/2020,14328.2,14439.7,14467.5,14272.4,20.41,0.00%
18/9/2020,14328.2,14244.5,14328.2,14216.7,21.89,1.18%
17/9/2020,14160.9,13798.5,14216.7,13770.6,46.96,2.83%
16/9/2020,13770.6,13798.5,13826.4,13714.9,12.09,0.00%
15/9/2020,13770.6,13798.5,13910,13742.8,15.55,0.41%
14/9/2020,13714.9,13659.1,13798.5,13659.1,22.33,0.61%
11/9/2020,13631.3,13687,13742.8,13631.3,20.49,-0.41%
10/9/2020,13687,13770.6,13854.3,13659.1,21.25,0.20%
9/9/2020,13659.1,13603.4,13910,13575.5,34.45,-0.61%
8/9/2020,13742.8,13714.9,13770.6,13631.3,21.52,0.61%
7/9/2020,13659.1,13937.9,13993.7,13659.1,25.16,-1.80%
4/9/2020,13910,13742.8,13993.7,13742.8,33.03,-0.20%
3/9/2020,13937.9,13937.9,14049.4,13882.1,25.54,0.81%
1/9/2020,13826.4,13687,13910,13631.3,29.4,1.02%
31/8/2020,13687,13491.9,13826.4,13491.9,23.4,1.03%
28/8/2020,13547.6,13659.1,13659.1,13519.8,20.36,0.00%
27/8/2020,13547.6,13491.9,13575.5,13436.1,15.45,0.41%
26/8/2020,13491.9,13659.1,13687,13491.9,28.65,-1.43%
25/8/2020,13687,13882.1,13965.8,13687,18.82,-1.01%
24/8/2020,13826.4,13659.1,13910,13603.4,24.45,1.85%
21/8/2020,13575.5,13436.1,13603.4,13408.3,15.67,1.04%
20/8/2020,13436.1,13519.8,13575.5,13380.4,17,-0.62%
19/8/2020,13519.8,13491.9,13603.4,13436.1,16.26,0.41%
18/8/2020,13464,13603.4,13603.4,13436.1,9,-0.62%
17/8/2020,13547.6,13408.3,13547.6,13352.5,14.79,0.83%
14/8/2020,13436.1,13659.1,13714.9,13324.6,26.95,-1.63%
13/8/2020,13659.1,13659.1,13714.9,13547.6,13.27,0.82%
12/8/2020,13547.6,13547.6,13659.1,13436.1,15.49,0.21%
11/8/2020,13519.8,13603.4,13687,13436.1,16.98,-0.21%
10/8/2020,13547.6,13631.3,13798.5,13547.6,24.82,0.41%
7/8/2020,13491.9,13380.4,13547.6,13352.5,21.35,0.62%
6/8/2020,13408.3,13436.1,13603.4,13268.9,24.12,-0.21%
5/8/2020,13436.1,12822.9,13575.5,12767.1,45.48,4.78%
4/8/2020,12822.9,12934.4,12990.1,12711.4,19.46,0.44%
3/8/2020,12767.1,12098.1,12822.9,12098.1,29.65,5.53%
31/7/2020,12098.1,11958.7,12293.2,11958.7,13.44,-1.81%
30/7/2020,12321.1,12209.6,12432.6,12181.7,19.93,1.61%
29/7/2020,12126,12432.6,12711.4,11791.5,32.55,-3.09%
28/7/2020,12513.1,12124.2,12581.8,11987,29.74,5.39%
27/7/2020,11872.6,11918.4,12421.6,11804,38.73,-3.35%
24/7/2020,12284.4,12810.5,12833.4,12032.7,44.83,-4.79%
23/7/2020,12902,12856.3,12902,12673.3,21.43,0.36%
22/7/2020,12856.3,12947.8,12993.5,12787.6,15.71,0.00%
21/7/2020,12856.3,12856.3,12924.9,12719,24.69,0.36%
20/7/2020,12810.5,13039.3,13130.8,12810.5,24.44,-1.93%
17/7/2020,13062.2,13130.8,13153.7,13062.2,14.24,-0.17%
16/7/2020,13085,12902,13222.3,12787.6,37.73,1.96%
15/7/2020,12833.4,12902,12993.5,12833.4,13.82,0.54%
14/7/2020,12764.8,12558.9,12787.6,12536,12.12,0.90%
13/7/2020,12650.4,12604.6,12741.9,12467.4,30.96,-0.36%
10/7/2020,12696.1,12810.5,12924.9,12627.5,30.45,-1.42%
9/7/2020,12879.1,12856.3,12947.8,12787.6,15.98,0.36%
8/7/2020,12833.4,12879.1,13016.4,12764.8,19.28,-1.06%
7/7/2020,12970.6,12696.1,13222.3,12673.3,59.07,2.72%
6/7/2020,12627.5,12673.3,12696.1,12558.9,20.56,0.36%
3/7/2020,12581.8,12673.3,12696.1,12536,17.08,-0.36%
2/7/2020,12627.5,12581.8,12696.1,12536,27.38,0.73%
1/7/2020,12536,12353,12581.8,12307.2,22.84,2.24%
30/6/2020,12261.5,12261.5,12536,12147.1,31.22,0.56%
29/6/2020,12192.9,12307.2,12353,12009.9,26.07,-2.02%
26/6/2020,12444.5,12536,12627.5,12353,19.72,-0.37%
